"PERSON_ID","PERNAME1","PERNAME2","SEX","DOB_DAY","DOB_MON","DOB_YEAR","ENUMCAP","ENUMPC","CIS_ID"
"PO827ER091001","HAYDEN","HALL","M",,1,,"91 CLARENCE ROAD","PO827ER","CISPO827ER091001"
"LS992DB024001","SEREN","ANDERSON","F",1,1,,"24 CHURCH LANE","LS992DB","CISLS992DB024001"
"M432ZZ053003","LEWIS","LEWIS","M",1,1,,"53 CHURCH ROAD","M432ZZ","CISM432ZZ053003"
"SW75TQ018001","HARRISON","POSTER","M",5,1,,"19 HIGHFIELD ROAD","SW75TG","CISSW75TQ018001"
"EX527TR017006","MUHAMMED","WATSUN","M",7,1,,"17 VICTORIA STREET","","CISEX527TR017006"
"SW540RB001001","RHYS","THOMPSON","M",7,1,,"1 SPRINGFIELD ROAD","SW540RB","CISSW540RB001001"
"SO473WT003001","EVELYN","HARVEY","F",9,1,,"3 MANOR ROAD","SO473WT","CISSO473WT003001"
"SW122AB006003","DYLAN","LEWIS","M",10,1,,"6 VICTORIA ROAD","SW122AB","CISSW122AB006003"
"SW332TG050002","NIAMH","MORRISON","F",10,1,,"50 ALEXANDRA ROAD","","CISSW332TG050002"
"PO466DY088002","MUHAMMAD","ANDERSON","M",11,1,,"88 ALEXANDRA ROAD","PO466DY","CISPO466DY088002"
"DE256NG039003","HARRIET","THOMSON","F",12,1,,"39 SPRINGFIELD ROAD","DE256NG","CISDE256NG039003"
"SW293NH063006","ELEANOR","BELL","",13,1,,"63 MARLBOROUGH ROAD","SW293NH","CISSW293NH063006"
"LS849ZQ066003","LILLY","MARTIN","F",14,1,,"66 GROVE ROAD","LS849ZQ","CISLS849ZQ066003"
"M560SF115007","AISHA","GREEN","F",15,1,,"115 ALBERT ROAD","M560SF","CISM560SF115007"
"M518DS026004","ALEXANOER","HUNT","M",19,1,,"26 HIGHFIELD ROAD","M518DS","CISM518DS026004"
"M192EN022002","FREYA","STEVENSON","F",22,1,,"22 ALEXANDRA ROAD","M192EN","CISM192EN022002"
"EX683DN068001","TOMMY","GRIFFITH","M",24,1,,"67 FOREST ROAD","EX683DN","CISEX683DN068001"
"HR250EL037001","LEWIS","WOOD","M",24,1,,"37 LONDON ROAD","HR250EL","CISHR250EL037001"
"NW374JQ075003","BEN","RUGERS","M",25,1,,"75 STATION ROAD","","CISNW374JQ075003"
"M682HY081003","FREYA","WALKER","F",28,1,,"81 MAIN ROAD","M682HY","CISM682HY081003"
"SW540RE049002","KEIRA","COX","F",30,1,,"49 SPRINGFIELD ROAD","SW540RE","CISSW540RE049002"
"M682HX055002","ISABELLE","RIGHARDS","F",31,1,,"55 MAIN ROAD","M682HX","CISM682HX055002"
"SW744QX019004","ETHAN","HOLMES","",31,1,,"19 FOREST ROAD","SW744QX","CISSW744QX019004"
"PO872DN077002","AMBER","POWELL","F",1,2,,"77 WOODLANDS ROAD","PO872DN","CISPO872DN077002"
"SW332TH069007","FREYA","RICHARDS","F",1,2,,"69 ALEXANDRA ROAD","SW332TH","CISSW332TH069007"
"NW277BW057005","E","MOVGAN","F",3,2,,"57 GRANGE ROAD","NW277BW","CISNW277BW057005"
"SW937XP029003","AMELIA","BAKER","F",5,2,,"29 WOODLANDS ROAD","SW937XP","CISSW937XP029003"
"DE456EA035001","JESS","TAYLOR","",6,2,,"35 KINGS ROAD","DE456EA","CISDE456EA035001"
"SW433XW067004","S","HUNT","F",6,2,,"69 STANLEY ROAD","SW433XW","CISSW433XW067004"
"LS74DL010001","HARRIET","PATEC","F",7,2,,"10 KINGS ROAD","LS74DL","CISLS74DL010001"
"RG830GY007001","GRAGIE","HILL","F",7,2,,"7 SPRINGFIELD ROAD","RG830GY","CISRG830GY007001"
"M518DT030001","RUBY","DAVIES","F",8,2,,"30 HIGHFIELD ROAD","M518DT","CISM518DT030001"
"DE712NS012002","NATALIA","OWEN","F",11,2,,"12 QUEENS ROAD","DE712NS","CISDE712NS012002"
"DE264EU008003","ALEXANDER","TURNER","M",13,2,,"8 VICTORIA ROAD","DE264EU","CISDE264EU008003"
"DE422HF036002","ZAAA","KING","F",14,2,,"36 MARLBOROUGH ROAD","DE422HF","CISDE422HF036002"
"SW946ZD005001","MIA","POWELL","F",14,2,,"5 MAIN ROAD","SW946ZD","CISSW946ZD005001"
"LS166LZ001001","","COLLINS","M",15,2,,"1 GRANGE ROAD","LS166LZ","CISLS166LZ001001"
"SO633ZN019003","CALLUM","HUNT","M",15,2,,"19 MILL LANE","SO633ZN","CISSO633ZN019003"
"HR459GF021001","EVA","GRIFFITH","F",21,2,,"21 WOODLANDS ROAD","HR459GF","CISHR459GF021001"
"SO93JR020002","SARA","CLARKE","F",23,2,,"20 PARK AVENUE","SO93JR","CISSO93JR020002"
"SW122AB010002","LEXI","THOMSON","F",23,2,,"110 VICTORIA ROAD","SW122AB","CISSW122AB010002"
"HR619TE020001","LUKE","BENNETT","",24,2,,"20 PARK AVENUE","HR619TE","CISHR619TE020001"
"HR459GE015002","AMINA","OWEN","F",25,2,,"15 WOODLANDS ROAD","HR459GE","CISHR459GE015002"
"M447NN013003","BRADLEY","JOHNSON","M",25,2,,"13 MAIN STREET","M447NN","CISM447NN013003"
"M682HX057001","EVE","BENNETT","F",25,2,,"57 MAIN ROAD","M682HX","CISM682HX057001"
"PO514XA016001","SYED","HALL","M",25,2,,"16 GEORGE STREET","PO514XA","CISPO514XA016001"
"RG334PB012001","DYLAN","PRICE","M",25,2,,"12 KINGSWAY","RG334PB","CISRG334PB012001"
"SO265RP017003","KATIE","KECCY","F",27,2,,"17 GEORGE STREET","SO265RP","CISSO265RP017003"
"M660XU037002","ABIGAIL","BUTLER","F",28,2,,"37 SPRINGFIELD ROAD","M660XU","CISM660XU037002"
"SW199QY017003","NICK","TAYLOR","M",29,2,,"17 BROADWAY","SW199QY","CISSW199QY017003"
"HR559UL076003","HAVVY","PALMEV","M",30,2,,"76 STATION ROAD","HR559UL","CISHR559UL076003"
"M80NY062005","LEUN","WRIGHT","M",30,2,,"62 VICTORIA ROAD","M80NY","CISM80NY062005"
"SW122AB002002","LHLOE","WRIGHT","F",31,2,,"2 VICTORIA ROAD","SW122AB","CISSW122AB002002"
"LS189AP005002","BEN","WARD","M",1,3,,"5 SOUTH STREET","LS189AP","CISLS189AP005002"
"SO335FA004001","LEWIS","ROBERTS","M",1,3,,"4 GRANGE ROAD","SO335FA","CISSO335FA004001"
"NW500AU044001","DAISY","CHAPMAN","F",3,3,,"44 ALEXANDRA ROAD","NW500AU","CISNW500AU044001"
"SW744QY033002","H","THOMPSON","F",3,3,,"33 FOREST ROAD","SW744QY","CISSW744QY033002"
"LS992DB021004","W","JAMES","M",4,3,,"21 CHURCH LANE","LS992DB","CISLS992DB021004"
"M560SF116003","PAIGE","REID","F",4,3,,"116 ALBERT ROAD","M560SF","CISM560SF116003"
"SW433XX083001","DOMINIC","DAVIES","M",5,3,,"83 STANLEY ROAD","SW433XX","CISSW433XX083001"
"EX271TY016002","MOHAMMED","SHAW","M",6,3,,"","EX271TY","CISEX271TY016002"
"SW75TT080004","AMELIE","JENKINSON","F",6,3,,"80 HIGHFIELD ROAD","SW75TT","CISSW75TT080004"
"DE533TL048003","DAVE","MATTHEWS","M",7,3,,"48 MANOR ROAD","DE533TL","CISDE533TL048003"
"EX341WU029001","A","LLOYD","M",8,3,,"29 PARK ROAD","EX341WU","CISEX341WU029001"
"EX271TY004004","DAVE","MITCHELL","M",10,3,,"4 SOUTH STREET","EX271TY","CISEX271TY004004"
"SO335FA017001","AALIYAH","HUCHES","F",13,3,,"17 GRANGE ROAD","SO335FA","CISSO335FA017001"
"RG656EW002001","JESS","LLOYD","F",20,3,,"2 THE GREEN","RG656EW","CISRG656EW002001"
"EX86QR017001","ALEXANDER","MURPHY","M",21,3,,"17 KINGS ROAD","EX86GR","CISEX86QR017001"
"HR348JQ010003","PAUL","GRIFFITH","M",21,3,,"10 QUEEN STREET","HR348JQ","CISHR348JQ010003"
"DE264EW028001","S","GRAY","M",22,3,,"28 VICTORIA ROAD","DE264EW","CISDE264EW028001"
"DE159QA062001","LEWIS","GREEN","M",23,3,,"62 CHURCH ROAD","DE159QA","CISDE159QA062001"
"PO149UG009001","ALYSSA","GIBSON","F",23,3,,"9 CHAPEL STREET","PO149UG","CISPO149UG009001"
"SO763BT001005","MAXIMILIAN","BROWN","M",26,3,,"1 HIGH STREET","SO763BT","CISSO763BT001005"
"M192EN016001","JESS","GRAHAM","F",27,3,,"16 ALEXANDRA ROAD","M192EN","CISM192EN016001"
"M560SE101001","ABDULLAH","THOMAS","M",27,3,,"101 ALBERT ROAD","M560SE","CISM560SE101001"
"RG787RA021002","KATIE","PALMER","F",31,3,,"21 WOODLANDS ROAD","RG787RA","CISRG787RA021002"
"M141DQ001003","EMILY","JAMES","F",1,4,,"1 THE CRESCENT","M141DQ","CISM141DQ001003"
"PO711HW007004","CEXIE","BECC","F",1,4,,"7 CHURCH ROAD","PO711HW","CISPO711HW007004"
